"Clean Plaintiff","Plaintiff Type","2010","2011","2012","2013","2014"
"Fairmount Mhp; Park Properties Dba;","Misc","0","0","1","0","0"
"Ulman Properties, LLC.;","Misc","0","0","0","0","5"
"Maple Leaf Apartments;","Misc","2","1","1","5","1"
"Jos Ventures, LLC; Shaul Property Group, LLC; ","Misc","0","0","0","1","0"
"Rose Properties Inc;","Misc","1","1","0","0","0"
"WATER DANCE APARTMENTS II;","Misc","0","0","0","4","7"
"Bowman & Heintz","Debt Buyer","661","5667","5740","3580","656"
"Habel Properties Llc;","Misc","0","2","0","0","0"
"THE COMMONS AT WYNNE FARMS BY;","Misc","0","0","0","0","1"
"Discovery Properties PMG LLP mngn Joel O'Rea; ","Misc","0","0","1","0","0"
"Brookhaven At County Line; Strawbridge Green Apartments; ","Misc","0","1","0","0","0"
"Cooley Property Management  LLC;","Misc","0","0","0","0","1"
"Village at Curry Apts.;","Misc","0","0","0","0","1"
"TRI-WEST HIGH SCHOOL (2010-2011);","Government","0","0","1","0","0"
"Smith &amp; Wather Properties Inc;","Misc","1","0","0","0","0"
"Pebble Point Apartments BY: Suess &amp; Sandlin, PC; ","Misc","0","4","0","0","0"
"Blue Valley Apartments, Inc;","Misc","0","0","0","2","2"
"Burlington Properties Llc;","Misc","0","0","0","1","0"
"Jackson Kuronda Properties;","Misc","0","1","0","0","0"
"TBH Apartments; ","Misc","1","0","0","0","0"
"Precision Property Mgmt Co.;","Misc","2","2","0","0","4"
"SOUTHCOAST LLC DBA UNIVERSITY PARK APARTMENTS; ","Misc","0","0","1","0","0"
"MJE Properties, LLC;","Misc","0","1","1","0","0"
"Crestwood Village Apartments North; ","Misc","1","0","0","0","0"
"Summit Radiology PC;","Medical","0","0","0","1","0"
"Sunblest Farms Property Owners Assoc Inc;","Misc","0","1","0","0","0"
"Wilkinson Asset Management For Salem Courthouse Apartments; ","Misc","0","0","2","0","0"
"Abney Lake Apartments; Idlewood Apartments LLC; ","Misc","0","0","0","0","1"
"R. Myers Properties; ","Misc","0","0","1","0","0"
"Dryden Properties, Inc d/b/a Hilltop Village Mobile Home Park;","Misc","0","0","0","0","1"
"American Homes 4Rent Properties Ten, LLC; ","Misc","0","0","0","0","1"
"North Willow Apartments by Cardinal Accounts, Inc; North Willow Apartments; ","Misc","0","1","0","0","0"
"Village Woods Homeowners Ass'n Inc; ","Misc","0","0","1","0","0"
"Credit Control LLC Assignee of Bluffton Regional Medical Center; ","Medical","0","0","0","2","0"
"Valley at Geist Property Owners Assn Inc;","Misc","0","0","2","0","0"
"M.A.B. PROPERTIES &amp; REPAIR LLC;","Misc","0","0","0","1","0"
"Cumberland Commons Community Homeon                         ;","Misc","0","0","0","1","0"
"Oak Estates Apartments;","Misc","0","0","1","0","0"
"Kline Properties, Inc., as managing agent for owner: Horrigan, Mike &amp; Sherry; ","Misc","0","0","0","0","1"
"D &amp; E Properties LLC;","Misc","0","2","0","1","0"
"Ralph Pardieck dba The Village Green;","Misc","0","0","0","0","1"
"LITTLE FLOWER PROPERTIES; ","Misc","0","0","0","1","0"
"MJE Properties,LLC;","Misc","0","0","1","0","0"
"Prairie Lakes Apartments;","Misc","0","0","0","4","27"
"TWA Management as managing agent for the owner of Stetson Senior Apartments; ","Misc","0","0","0","0","1"
"NATIONAL APARTMENTS, LP; ","Misc","0","2","1","0","0"
"Home Sweet Home Properties LLC;","Misc","0","0","1","0","0"
"Serene Properties, LLC; ","Misc","0","0","0","2","1"
"Herman &amp; Kittle Properties, Inc. As Managing Agent For Washington Pointe Apts; ","Misc","0","0","0","5","0"
"COMPREHENSIVE DERMATOLOGY PC; ","Medical","0","0","1","0","0"
"MINTURN PROPERTIES; ","Misc","0","2","0","0","0"
"Veeps Investment Properties LLC; ","Misc","0","3","0","1","0"
"Huegel Realty D/B/A Normandy Arms Apartments;","Misc","0","0","0","0","1"
"Spring Manor LLC;","Misc","1","0","0","0","0"
"Monon Trail Apartments @ Fall Creek; ","Misc","0","0","0","0","1"
"RIVERCREST APARTMENTS, LLC;","Misc","0","0","0","0","1"
"Deardorf Property Mgmt Inc;","Misc","4","8","4","5","2"
"Parkside Village Homeowners Assoc;","Misc","1","0","1","2","0"
"Trinity Property Consultants; ","Misc","1","0","0","0","0"
"St. Louis Property Group LLC;","Misc","0","0","0","1","0"
"Athena Real Estate Services Llc; ","Misc","4","2","0","1","2"
"Ballard; OM Properties LLC; ","Misc","0","0","0","0","1"
"Amba Properties Llc;","Misc","0","1","13","8","9"
"Connie Jean Crossing Apartment;","Misc","1","0","1","0","0"
"V &amp; S PROPERTIES;","Misc","0","0","1","0","3"
"Conrad Office Properties; Leonard; ","Misc","0","1","0","0","0"
"City Of Evansville;","Government","0","3","3","28","22"
"Charleston East Apartments; Spanish Oaks Apartments; ","Misc","0","1","0","1","0"
"Brandon Court Apartments;","Misc","7","6","0","2","6"
"Rhoads Family Properties;","Misc","0","0","0","0","1"
"Normandy Village Apartments;","Misc","156","144","164","192","158"
"Eisaman Property Management  &amp; Realty;","Misc","0","0","0","0","1"
"Southmain Village Homeowner's Assoc;","Misc","0","0","0","3","0"
"Upland Apartments, LLC;","Misc","0","0","0","0","3"
"Cottages of Fall Creek c/o Mckinley, Inc.; ","Misc","0","6","0","0","0"
"Arrows Woods Apartments; ","Misc","0","0","1","0","0"
"Peer Properties LLC;","Misc","0","0","0","0","2"
"Villages At Grassy Creek West Hoa                          ;","Misc","0","0","7","0","0"
"SPRUCE MANOR; ","Misc","0","1","1","0","0"
"Lpm Properties By Managing;","Misc","9","0","0","0","0"
"VILLAGE APTS OF MT. VERNON;","Misc","0","1","0","0","0"
"US REAL ESTATE PROPERTY MANAGEMENT, LLC; ","Misc","0","6","0","0","0"
"Parkside Apartments Inc;","Misc","3","0","1","0","0"
"Cold Springs Manor Apartment; ","Misc","2","0","0","0","0"
"Shepard Properties; ","Misc","0","0","2","0","0"
"Town of Medora;","Government","0","0","0","0","1"
"St. Andrews Apartments                          ;","Misc","0","0","4","0","2"
"ACI Properties, LLC; ","Misc","1","0","0","0","0"
"Glendale Village Townhomes; ","Misc","1","0","0","0","0"
"Fallwood Apartments; North Oaks of Broad Ripple by Cardinal Accounts, Inc; ","Misc","0","1","0","0","0"
"FONSECA PROPERTIES,LLC; ","Misc","0","1","0","0","0"
"J D Properties Llc;","Misc","1","0","0","0","0"
"Metro Real Estate;","Misc","0","0","0","2","1"
"Armstrong Farm Apartments;","Misc","8","17","23","22","13"
"Statewide Credit Association","Collection Agency","2251","2318","2163","1852","2162"
"Town Of Markle, Indiana;","Government","0","0","0","0","4"
"Wildwood Place Apartments, Inc;","Misc","0","0","0","2","0"
"AUSTIN LAKES PROPERTY OWNERS ASS'N, INC;","Misc","0","0","0","1","0"
"Town of Orleans;","Government","0","0","1","27","14"
"Empirian Property Management As                          ;","Misc","3","7","5","0","0"
"Buck Creek Village Homeowner's Association, Inc.; ","Misc","0","0","0","0","10"
"Buck Creek Village Homeowners Association, Inc.; ","Misc","0","0","0","0","2"
"Villages At Mill Crossing Apartments; ","Misc","226","176","146","63","73"
"Bethany Village Apartments; ","Misc","0","0","0","1","0"
"Heartland Property Mgmt/Suess; ","Misc","1","0","0","0","0"
"Real Estate Alternatives; ","Misc","0","0","1","0","0"
"Steve Goad Properties Inc;","Misc","34","12","17","23","15"
"Blue River Property, Inc.;","Misc","0","1","1","0","0"
"Madison Park Village; ","Misc","27","3","2","39","10"
"Village Apts of Scottsburg 2;","Misc","0","0","1","0","0"
"Housing Authority Town of Bloomfield;","Government","0","0","0","1","0"
"Hartman Village Homeowners Ass'n Inc; ","Misc","0","0","1","0","0"
"COUNTY WIDE PROPERTIES;","Misc","0","0","1","0","0"
"BRE/US INDUSTRIAL PROPERTIES LLC; ","Misc","0","0","0","0","4"
"Market Place Homes/DBC Properties; ","Misc","0","0","1","0","0"
"M &amp; J Property Management, LLC; ","Misc","0","0","4","0","0"
"Hungtington Road Apartments;","Misc","0","0","0","1","0"
"Brothers Property Inc; Wyatt; ","Misc","0","0","1","0","0"
"Wallace Properties Llc;","Misc","1","0","0","0","0"
"Runaway Bay Apartments By Collection Assignee Cardinal Accts Inc; RUNAWAY BAY APTS; ","Misc","0","1","0","0","0"
"Dryden Properties, Inc;","Misc","0","0","0","0","1"
"Stepplechase Apartments;","Misc","0","1","0","0","0"
"Fonseca Properties LLC for Briergate Apartments; ","Misc","2","0","0","0","0"
"THE PINES OF AVON PROPERTY OWNERS ASSOCIATION INC;","Misc","0","0","0","2","0"
"Wilco Property Service, LLC; ","Misc","0","2","0","0","0"
"Mann Properties; ","Misc","0","0","1","0","0"
"Grassy Creek Apartments; ","Misc","0","25","30","0","0"
"Ziden Management Group, Inc. as managing agent for Country Lake Apartments; ","Misc","1","0","0","0","0"
"Alliance Property Managment;","Misc","0","0","0","0","2"
"Village Apts Of Scottsburg I;","Misc","1","1","1","0","1"
"Lola Property Management, LLC;","Misc","0","1","0","0","0"
"Plantation Court Apartments;","Misc","3","0","0","0","0"
"S &amp; A Properties &amp; Investments, LLC; ","Misc","0","1","0","0","0"
"CITY OF TERRE HAUTE; ","Government","0","0","0","1","0"
"Serenity Terrace Apartments;","Misc","0","0","0","1","1"
"Orthopaedic of Indianapolis Anesthesiologists;","Medical","0","0","1","3","0"
"Brighton Park Apartments by Cardinal Accounts; ","Misc","1","0","0","0","0"
"ELON PROPERTY MANAGEMENT CO. AS MANAGING AGENT FOR THE OWNER OF STONEHENGE APARTMENTS; ","Misc","0","0","0","1","0"
"Carrington  Commons Hoa Inc/Roache; ","Misc","2","0","0","0","0"
"P.O.M. Properties Inc;","Misc","0","0","0","0","1"
"AMG Property; ","Misc","0","0","1","0","0"
"First Franklin Properties Llc/Beatty; ","Misc","2","0","0","0","0"
"Two J's Properties LLC;","Misc","0","0","0","1","0"
"Coliseum Park Apartments;","Misc","0","6","9","0","0"
"Montrose Square Apartments Inc;","Misc","2","7","6","2","2"
"Willowood East Apartments; ","Misc","0","0","0","2","0"
"Credit Compliance &amp; Management; Hubbard Property Services, LLC; ","Misc","0","0","0","0","1"
"White River Village Apts;","Misc","0","1","1","13","1"
"Discover Properties, LLC as managing agent for the owner, BLTREJV3; ","Misc","0","0","0","1","0"
"Elon Property Management Co Managin                         ;","Misc","0","0","1","1","0"
"HOMEWORK PROPERTY SERVICES, LLC;","Misc","0","0","0","0","1"
"Garner Properties &amp; Management; Vision Property Solutions; ","Misc","0","0","0","0","6"
"Cumberland Manor Apartments Llc; ","Misc","4","1","0","0","0"
"Cornerstone Properties, Inc; ","Misc","0","0","0","0","1"
"G&amp;D Investment Properties Llc;","Misc","0","0","2","2","3"
"Red Oak Properties &amp; Investments, LLC;","Misc","0","0","0","14","0"
"EMPIRIAN PROPERTY MANAGEMENT, INC. AGENT FOR WILLOWOOD EAST APARTMEN; ","Misc","0","12","0","0","0"
"Franklin Place Apts.                          ; Herman Kittle Properties                          ;","Misc","0","0","0","3","0"
"PICCADILLY MANAGEMENT COMPANY, LLC AS MANAGING AGENT FOR ROLAND MANOR; ","Misc","0","0","0","1","0"
"Mayfair Apartment; ","Misc","2","0","0","0","0"
"Gould's Discount Medical, Inc; ","Medical","0","0","2","0","0"
"Emergency Medical Group/Riverview; Fishers Fire Department; IMC Credit Service LLC assignee of Riverview Hospital;","Medical","0","1","0","0","0"
"DOWNEY PROPERTIES,LLC;","Misc","0","0","1","0","0"
"Gene B. Glick Co., Inc. as agent for Brookview Apartments; ","Misc","5","0","16","7","4"
"Resource Residential for International Village; ","Misc","1","0","0","0","0"
"Acm Property  Management Services D/B/A Arbors;","Misc","0","1","0","0","0"
"Zidan Management Group, Inc. As Managing Agent For The Owner Of Marina Apartment; ","Misc","9","11","0","0","0"
"Adams Village Apartments; LePore; Regency Management Service, LLC;","Misc","0","2","0","0","0"
"Strawbridge Green Apartment; ","Misc","1","0","0","0","0"
"City View On Meridian Apartments; Lakeside Pointe At Nora Apartments; ","Misc","0","0","1","0","0"
"Resource Property Management Group;","Misc","0","2","1","2","1"
"Meridian Plaza Property LLC; ","Misc","0","0","0","0","1"
"Dorothy Apartment Rentals, Inc.;","Misc","1","0","0","0","3"
"Recision Property Mgmt.;","Misc","1","0","0","0","0"
"GUARDIAN PROPERTY;","Misc","0","0","1","1","1"
"Bpr Property;","Misc","0","1","0","1","0"
"Jewell Real Estate Investments; ","Misc","3","3","1","0","0"
"Dogwood Glen Apartments; Northview Apartments; ","Misc","1","0","0","0","0"
"International Village  By Collection Assignee Cardinal Accts Inc; Suncrest Apts; ","Misc","0","2","1","0","0"
"Hickory Mill Apartments, LLC;","Misc","0","0","0","0","2"
"Fall Creek Village Co-Owners Ass'n, Inc; ","Misc","0","1","0","2","0"
"Hartshire Lakes Apartments By                          ;","Misc","0","0","1","0","0"
"Eastwood Pointe Apartments;","Misc","12","26","7","0","0"
"SLLD Properties, LLC;","Misc","0","0","0","1","0"
"Village Green Mgt Co as managing agent for owner of The Grand Reserve at Geist; ","Misc","0","0","0","5","0"
"Indy Property 1 LLC; ","Misc","0","0","0","1","0"
"State Auto Property Causuallty Insurance Company; ","Misc","1","0","0","0","0"
"Gene B Glick Co., Inc. for Ashton Pointe Apartments; ","Misc","0","0","4","0","0"
"Urbahns Companies, Inc as managing agent for owner of Auburn Hill Apartments; ","Misc","2","0","0","0","0"
"Keystone Realty and Property Management LLC;","Misc","0","0","0","0","2"
"Family Medical Associates;","Medical","0","0","0","5","2"
"Agnes Morningstar Real Estate Broker &amp; Prop Mgmt Inc; Anthony Wayne Credit Adjusters;","Misc","0","1","0","0","0"
"Nora Commons on the Monon; Nora Commons; ","Misc","0","4","0","0","0"
"Spring Valley Apartment;","Misc","0","0","1","0","0"
"Koetter Northgate Properties LLC; ","Misc","0","0","1","0","0"
"PREFERRED PROPERTIES MANAGEMENT;","Misc","0","0","0","1","0"
"RELIABLEPROPERTYIMPROVEMENTS;","Misc","0","1","0","0","0"
"Arrow Woods Apartments; Estates at Crystal Bay Apartments; ","Misc","0","0","0","2","0"
"Casa Patricia Apartments Llc;","Misc","2","0","0","0","0"
"EQUITY PROPERTY MGMT.;","Misc","0","0","0","0","6"
"Central School Senior Apartment;","Misc","1","0","0","0","0"
"MAB PROPERTIES &amp; REPAIR;","Misc","1","0","0","0","0"
"Wiggington Properties, Susan Miller/Cathy Jo Horgan; ","Misc","0","0","1","0","0"
"Villages At Grassy Creek East                          ;","Misc","8","0","13","11","0"
"Around the Town Properties, LLC; ","Misc","0","0","0","1","0"
"City of Beech Grove; ","Government","0","0","0","0","1"
"Chapel Hill Apartments by Collection Assignee Cardinal Accounts Inc; International Village; ","Misc","0","0","0","0","1"
"City Of Gary Fire Department;","Government","2","1","0","2","1"
"Village Green Management Company as managing agent for owner of Avery Point Apar; ","Misc","0","0","0","3","0"
"Elite Property;","Misc","0","2","0","0","0"
"ERIN REAL ESTATES;","Misc","0","1","0","0","0"
"Scoman Properties LLC; ","Misc","0","0","1","0","0"
"Anesthesia Medical Group P C; ","Medical","1","0","0","0","0"
"Geist Harbours Property Owners Association Inc.; ","Misc","0","0","0","0","14"
"Eagle Creek Properties;","Misc","2","1","0","0","0"
"Denizen Management as managing agent for the owner of Magnolias Apartments; ","Misc","0","0","0","0","9"
"Empirian Property Management I;","Misc","2","5","0","0","0"
"AHTR Properties, LLC;","Misc","0","0","0","0","1"
"SOUTH BEND REAL ESTATE LLC;","Misc","0","4","5","4","4"
"City Of Pasadena; ","Government","2","0","0","0","0"
"Max Real Estate Property Management; ","Misc","0","0","1","1","1"
"ESTATE OF RAY HALL; River Chase Apartments;","Misc","1","0","0","0","0"
"Colclasure; Slip Properties Inc;","Misc","0","0","2","0","0"
"Mattick Dba Mattick Properties Stephen          ;","Misc","0","0","0","0","1"
"Emergency Medical Group/Riverview; IMC Credit Service LLC assignee of Riverview Hospital; Northwest Radiology Network PC;","Medical","0","1","0","0","0"
"Herman &amp; Kitle Properties, Inc as managing agent for the owner of The Enclave at Meridian; ","Misc","0","0","0","0","1"
"Village Apts of Seymour;","Misc","0","0","1","0","0"
"University Pediatric Assoc, Inc.; ","Medical","0","0","0","0","1"
"Justin Glotzbach Properties;","Misc","0","0","0","0","4"
"Southern Emergency Medical; ","Medical","0","0","0","0","1"
"America First Properties Management Company Llc;","Misc","0","4","2","0","0"
"TRILLIUM PROPERTIE;","Misc","0","0","5","0","0"
"Forest Manor United Methodist Church; ","Misc","0","0","0","1","0"
"Scott Veerkamp Real Estate                          ;","Misc","0","0","1","0","0"
"Village Woods Homeowners Ass'n, Inc; ","Misc","0","0","0","0","1"
"CyberNet Real Estate; ","Misc","1","0","0","0","0"
"STONEY MEADOWS APARTMENTS;","Misc","1","0","0","0","0"
"Heartland Property Mgmt;","Misc","3","0","0","0","0"
"KME Properties LLC; ","Misc","0","0","0","0","1"
"Lancia Properties Llc;","Misc","0","0","0","3","1"
"Axion Property Managent; ","Misc","0","1","0","0","0"
"Advanced Debt Collection; Keystone Property Management Of Indiana, LLC; ","Misc","0","0","0","1","0"
"CALVIN HAIR/TOP CHOICE PROPERTY MGMT; ","Misc","0","0","1","0","0"
"Valenti Real Estate Services;","Misc","1","1","0","0","0"
"Jefferson Capital Systems","Debt Buyer","19","212","67","307","394"
"Advanced Poolcare, Inc.; Willow Glen East Apartments; ","Misc","0","0","1","0","0"
"Manor Care of Anderson IN LLC; ","Misc","0","0","0","1","0"
"Indy  City Property Mgt LLC; ","Misc","0","3","2","0","0"
"Imperial Real Estate Services, LLC; ","Misc","0","0","0","1","0"
"Chateau Village Apartment;","Misc","0","1","0","0","0"
"A Y Indiana Real Estate; ","Misc","3","0","0","0","0"
"US REAL ESTATE, LLC; ","Misc","0","1","4","1","2"
"Vison Property Solutions; ","Misc","0","0","2","0","0"
"Thompson Village Apartments; ","Misc","15","26","34","39","37"
"Abney Lake Apartments; Chesapeake Landing; ","Misc","0","2","0","0","0"
"Empirian Property Management inc as managing agent for owner of Marabou Mills; ","Misc","1","0","0","0","0"
"American Medical Oxygen Sales;","Medical","0","1","2","0","0"
"Dtc Properties Llc;","Misc","0","0","0","0","1"
"Hermitage Apartments By Collection Assignee Cardinal Accts Inc; The Hermitage Apartments; ","Misc","0","1","0","0","0"
"Justus Rental Properties as managing agent for Wyndham Hall at Wellington; ","Misc","0","0","1","0","0"
"Forrest Green Apartments;","Misc","1","0","0","0","0"
"Parc Property Group LLC; ","Misc","0","0","0","1","0"
"Sherman Village Apartments; ","Misc","0","0","0","0","3"
"L &amp; E Midwest Properties, LLC; ","Misc","0","0","0","3","5"
"Barron Property Services; Coppertree Apartments; ","Misc","0","0","1","0","0"
"Crossroad Investment Group, LLC; Nora Pine Apartments; ","Misc","2","0","0","0","0"
"MICHIANA PROPERTIES;","Misc","0","0","1","0","0"
"JUSTUS RENTAL PROPERTIES AGENT FOR CRESTWOOD VILLAGE EAST APARTMENTS; JUSTUS RENTAL PROPERTIES AS MANAGING AGENT FOR CRESTWOOD VILLAGE EAST APARTMENTS; ","Misc","0","1","0","0","0"
"Lee Memorial Medical Group;","Medical","0","1","0","0","0"
"William Staruskizkiewicz D/B/A Wilstar Properties; ","Misc","0","0","1","0","0"
"Summitt Properties;","Misc","0","1","0","0","0"
"Sheehan Property Management, Inc mngn The Masters; ","Misc","0","0","0","0","1"
"Harbour Town Apartments on Morse Lake;","Misc","0","0","0","22","38"
"Turtle Creek Apartments; ","Misc","17","17","10","2","3"
"Stellhorn Pointe Apartments;","Misc","14","21","16","11","16"
"Heffelfinger Apartments;","Misc","0","0","0","2","0"
"A/J Property Management LLC;","Misc","0","0","0","0","1"
"Franklin Manor Apts;","Misc","0","0","0","0","1"
"Six  Over Meridian Property Owners Ass'n; ","Misc","0","0","1","0","0"
"Olicorp Properties; ","Misc","0","0","3","0","1"
"The City Of Evansville;","Government","29","17","8","0","0"
"Athena Real Estate Services; ","Misc","1","0","0","0","0"
"Jones Property Investment Group; ","Misc","1","0","1","0","0"
"JC Properties;","Misc","0","0","1","0","0"
"Three Rivers Property Mgmt Llc;","Misc","0","1","0","0","0"
"North Vernon Municipal Utilities;","Utility","0","10","47","19","15"
"WATERFORD GLENN APARTMENTS;","Misc","0","0","1","4","0"
"MUNSTER RADIOLOGYGROUP;","Medical","23","4","4","5","0"
"LAIDIG APARTMENTS;","Misc","0","0","2","0","0"
"Friendman Real Estate Group Managin                         ;","Misc","0","0","0","0","1"
"Indigo Lakes Property Owners Assn Inc;","Misc","0","0","0","2","0"
"Village Green Managment Company;","Misc","0","0","0","1","0"
"Silver Property Mangement Inc; ","Misc","2","0","0","0","0"
"Pangea Groves Apartments; ","Misc","0","0","15","35","87"
"TW Thom Properties;","Misc","2","0","0","0","0"
"Homestead Apartments;","Misc","2","0","0","2","0"
"American Real Estate;","Misc","1","0","0","0","0"
"Evansville Apartments Ltd Lp;","Misc","0","0","4","3","3"
"MC Property Management;","Misc","0","1","0","1","0"
"MCM Property Investments LLC;","Misc","0","0","2","1","0"
"Terminal Properties Llc; ","Misc","0","0","0","1","0"
"Indy Diamond LLC managing agt for owner of Oaktree Apartments; ","Misc","0","0","0","6","0"
"Capital Property Management Ll;","Misc","0","0","0","20","0"
"North Harrison High School;","Government","12","10","11","6","5"
"BARRINGTON BRIDGE APARTMENTS;","Misc","0","7","0","2","6"
"McFarland Farms Property Owner's Association, Inc.; ","Misc","0","0","0","0","5"
"Kent Property Group;","Misc","0","0","1","2","5"
"Pmr Companies Dba Highland Hills Apartments;","Misc","0","3","1","2","0"
"WJM PROPERTY MGMT;","Misc","0","0","2","5","0"
"INDY CITY PROPERTY  MGT; ","Misc","0","4","1","0","0"
"Mills Dba; Mills Rental Properties;","Misc","9","7","8","0","0"
"Cheung; Pickwick Place Apartments; ","Misc","0","0","0","1","0"
"EMPIRIAN PROPERTY MANAGEMENT AS MANAGING AGENT FOR TH EOWNER OF BROWNSBURG CROSS;","Misc","0","0","1","0","0"
"Grandview Properties;","Misc","0","0","0","0","2"
"Barrett &amp; Stokely, Inc. as agent for the owner of Braeburn Village Apartments; ","Misc","1","0","47","1","0"
"Village Green; ","Misc","1","0","2","4","0"
"Southern Charm Properties;","Misc","0","0","0","1","1"
"Maple Creek Village Apartments; ","Misc","0","0","0","3","0"
"Towne Properties Asset Management Company as managing agent for the owner of Lexington Park Aparments; ","Misc","0","0","0","0","2"
"City Utilities;","Utility","3","26","0","131","0"
"Patrick Sheets M.D. C/O Good Medical;","Medical","3","4","0","0","0"
"TPS PROPERTIES LLC; ","Misc","0","0","1","0","0"
"CAMELOT MANOR/ESTATES;","Misc","54","0","0","0","0"
"Hartley Properties, Inc;","Misc","0","0","0","0","1"
"Daja Properties I, LLC;","Misc","0","0","0","1","0"
"Martinez Properties Llc; ","Misc","1","0","0","0","0"
"Hazard Appl Regional Medical Center; ","Medical","0","1","0","0","0"
"Lincoln Pointe Property;","Misc","0","2","0","0","0"
"Mrd Properties Llc;","Misc","1","0","0","0","0"
"Keystone Property Management of Indiana LLC; ","Misc","0","0","0","0","1"
"Carriage House Apartments;","Misc","9","3","3","4","4"
"JCAP Mgmt mngn Harrison Place Apts; The Cottages of  Fall Creek by Collection Assignee Cardinal Accounts INC.; ","Misc","0","0","1","0","0"
"Northgate Village Cooperative Inc;","Misc","10","4","11","11","6"
"AXION PROPERTY MANAGMENT LLC; ","Misc","0","0","0","0","1"
"Center Point Apartment Homes; ","Misc","0","11","27","50","71"
"Dave Clark D/B/A Clark Properties;","Misc","0","0","0","2","1"
"Pedcor Management Corporation Managing agent for the owner of Lakeview Apartments;","Misc","0","0","0","0","1"
"PRIME PROPERTY MANAGEMENT;","Misc","0","0","0","0","1"
"Venture Properties, LLC.;","Misc","0","0","1","0","0"
"Williamsburg Villages;","Misc","3","2","0","0","0"
"Maplewood Property Management;","Misc","2","0","1","3","5"
"Discover Properties PMG, LLP.; ","Misc","0","0","0","0","1"
"CEDAR RUN PROPERTIES;","Misc","0","0","1","2","0"
"Property Wise Management 2 LLC;","Misc","0","0","0","0","1"
"Pedcor  Homes Corporation Mg Agent Owner of Franklin Cove Apartments; ","Misc","0","0","0","2","13"
"MAG MILE PROPERTIES;","Misc","0","0","0","1","0"
"Hunters Run Apartments Lp;","Misc","5","1","2","3","4"
"Hunter's Run Apartments LP;","Misc","0","0","0","0","1"
"Crestwood Village South Apartments; ","Misc","6","2","4","1","0"
"Real Property Mgmt LLC as managing agent for Hoosier Housing Solutions Inc; ","Misc","0","0","0","0","1"
"Tes Property;","Misc","0","0","1","0","0"
"Six Over Meridian Property Owners Asso., Inc.; ","Misc","1","0","0","0","0"
"Gene B. Glick Co, Inc. as managing agent for the owner of Brookview Apartments; ","Misc","0","0","0","0","3"
"Town/Roanoke;","Government","11","3","1","1","0"
"Persimmon Property Owners Ass'n, Inc; ","Misc","0","0","0","5","2"
